Order Id,Order Date,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub Category,Product Id,cost price,List Price,Quantity,Discount Percent
22,7/16/2023,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,OFF-AR-10000246,20,20,7,4
23,5/6/2023,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,OFF-AP-10001492,50,60,7,3
24,5/21/2023,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,60,70,2,4
25,2/24/2023,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,900,1040,3,5
26,6/20/2022,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10001634,10,10,2,5
27,2/8/2022,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10003027,80,90,3,3
28,12/11/2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,FUR-BO-10004834,2740,3080,7,3
29,8/21/2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10000474,10,10,2,5
30,8/14/2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,100,120,3,4
31,11/20/2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,OFF-EN-10001509,0,0,2,5
32,1/19/2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10004042,70,90,6,4
33,1/30/2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,10,10,6,5
34,6/3/2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,20,20,2,4
35,9/28/2022,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,30,30,3,3
36,10/30/2022,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,1020,1100,7,5
37,7/27/2023,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,180,190,5,4
38,3/7/2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,90,110,9,2
39,8/18/2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,460,530,3,2
40,1/20/2022,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,200,210,3,2
41,6/29/2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,350,370,4,5
42,6/28/2022,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,140,150,4,3
43,2/9/2023,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,70,80,2,5
44,9/18/2023,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,90,100,2,4
45,11/11/2022,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,40,50,2,2
46,5/27/2022,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,20,20,2,5
47,2/3/2023,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,180,210,4,4
48,2/16/2022,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,50,50,3,5
49,5/6/2022,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,20,20,2,4
50,6/18/2023,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,30,40,6,4
51,1/11/2022,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,70,80,6,4
52,9/9/2023,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,10,10,2,4
53,1/31/2022,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,70,90,1,5
54,7/30/2023,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,20,20,7,3
55,10/17/2023,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,850,1030,5,4
56,7/6/2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,200,210,6,5
57,9/15/2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,30,30,5,5
58,8/9/2022,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,290,320,5,2
59,4/5/2022,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,10,10,2,4
60,6/24/2023,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,20,30,2,5
61,3/10/2022,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,40,50,4,2
62,4/8/2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,0,0,1,5
63,10/16/2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,10,10,2,3
64,8/2/2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,20,30,6,2
65,11/5/2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,130,150,3,5
66,5/6/2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,70,80,4,2
67,3/26/2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,180,210,5,5
68,4/10/2022,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,940,1110,8,3
69,8/12/2022,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,160,170,4,3
70,2/25/2022,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,70,80,2,2
71,11/29/2022,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,0,0,1,3
72,12/18/2022,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,20,20,3,3
73,3/7/2023,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,790,830,8,2
74,7/12/2023,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,90,100,2,3
75,10/21/2022,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,60,70,1,2
76,4/17/2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,0,0,3,4
77,5/20/2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,10,10,3,4
78,5/13/2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,20,30,3,2
79,10/20/2022,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,20,20,5,2
80,10/22/2023,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,190,210,1,3
81,7/20/2022,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,20,20,3,2
82,11/16/2022,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,10,10,5,5
83,11/10/2022,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,20,20,1,4
84,3/15/2022,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,180,200,7,3
85,10/3/2023,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,210,230,3,2
86,3/20/2022,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,260,300,2,5
87,12/4/2023,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,20,20,1,5
88,11/24/2023,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,10,10,2,5
89,12/30/2023,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,140,160,7,5
90,5/23/2022,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,20,20,3,2
91,4/6/2023,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,60,70,2,2
92,3/23/2022,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,10,10,1,2
93,4/7/2023,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,10,10,2,2
94,5/13/2022,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,50,50,3,5
95,4/23/2022,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,20,30,2,3
96,12/17/2023,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,10,10,1,2
97,4/28/2022,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,80,100,7,5
98,6/14/2023,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,40,50,3,4
99,2/5/2023,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,70,80,6,3
100,12/30/2023,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,60,60,7,3
101,2/24/2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,80,100,3,5
102,7/25/2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,0,0,3,3
103,1/14/2022,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,20,20,4,4
104,12/22/2022,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,220,240,6,3
105,6/9/2022,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,90,100,3,5
106,10/28/2023,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,30,40,3,5
107,10/18/2022,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,60,70,8,5
108,11/23/2022,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,30,30,1,3
109,10/12/2023,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,0,0,1,3
110,3/17/2023,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,290,340,5,2
111,9/5/2023,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,30,40,2,2
112,1/28/2022,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,70,80,2,3
113,12/26/2022,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,30,30,6,3
114,6/6/2023,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,40,40,14,2
115,11/8/2023,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,0,0,2,4
116,11/15/2022,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,20,20,3,4
117,6/30/2022,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,120,130,6,5
118,10/27/2023,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,720,790,3,4
119,7/19/2023,N/A,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,140,160,1,5
120,3/30/2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,50,50,3,3
121,3/3/2022,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,20,30,4,2
122,10/20/2022,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,190,230,6,2
123,1/23/2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,110,120,9,4
124,1/21/2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,60,70,7,2
125,7/18/2023,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,550,600,3,3
126,7/15/2023,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,540,620,6,4
127,7/14/2022,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,0,0,2,4
128,3/30/2023,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,200,240,7,4
129,9/18/2023,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,70,80,2,2
130,1/3/2022,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,220,240,3,4
131,7/17/2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,50,60,5,3
132,3/30/2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,80,80,2,4
133,5/1/2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,20,20,9,5
134,4/29/2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,20,20,3,4
135,10/28/2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,30,40,1,5
136,3/5/2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,10,10,4,5
137,3/28/2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,0,0,2,5
138,10/16/2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,70,80,3,2
139,5/15/2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,60,70,6,5
140,6/6/2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,40,40,14,2
141,6/10/2022,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,60,80,2,2
142,7/22/2022,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10000940,10,10,3,3
143,12/27/2023,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,OFF-EN-10004030,10,10,3,2
144,11/29/2023,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10004327,130,140,3,5
145,3/19/2022,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,OFF-AP-10001058,780,840,3,2
146,6/4/2023,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,OFF-ST-10003656,600,670,7,3
147,5/31/2023,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,80,90,4,4
148,6/12/2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,350,380,11,4
149,5/18/2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,140,150,3,5
150,1/23/2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,1580,1950,8,3
151,8/21/2023,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,OFF-BI-10002735,150,170,5,4
152,8/31/2023,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,OFF-AP-10000326,140,160,5,5
153,10/25/2022,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,TEC-PH-10001254,160,200,2,2
154,10/7/2022,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10001950,50,60,7,4
155,3/25/2023,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10002254,100,110,4,4
156,3/27/2023,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,OFF-ST-10001590,60,80,6,4
157,5/3/2022,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,OFF-AR-10001547,10,10,3,3
158,5/18/2022,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,FUR-CH-10004063,380,460,2,2
159,4/25/2022,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,OFF-LA-10002475,10,10,2,3
160,6/30/2022,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,TEC-PH-10004536,870,940,7,5
161,1/10/2022,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,OFF-PA-10002751,10,10,1,4
162,11/27/2023,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10003657,40,50,2,5
163,2/16/2022,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,OFF-EN-10001990,30,30,5,4
164,8/14/2022,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,OFF-BI-10004002,20,30,2,3
165,10/14/2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10004441,10,10,3,5
166,10/16/2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,TEC-MA-10000822,6850,8160,8,4
167,11/20/2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,OFF-ST-10000991,250,280,3,4
168,11/4/2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,FUR-CH-10004287,1620,1740,9,4
169,6/16/2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10002656,30,30,6,4
170,10/20/2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,OFF-AP-10002518,150,180,5,2
171,7/12/2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,TEC-PH-10003931,120,140,3,5
172,1/28/2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10000659,20,20,3,2
173,10/10/2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10001144,100,110,2,4
174,10/5/2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10003817,290,340,7,2
175,1/2/2023,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,OFF-AP-10000891,50,50,2,4
176,4/7/2023,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,OFF-LA-10003148,20,20,4,5
177,4/21/2022,Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,OFF-AP-10002684,90,100,4,2
178,10/28/2023,Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,FUR-CH-10004698,370,400,7,5
179,4/18/2022,Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,OFF-SU-10002189,20,20,5,3
180,3/8/2022,Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,OFF-AR-10001940,0,0,1,5
181,6/8/2023,Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,OFF-ST-10003455,20,20,2,5
182,6/25/2022,Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,TEC-AC-10004659,380,410,7,3
183,1/10/2022,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,TEC-PH-10003273,470,500,4,5
184,10/17/2023,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,TEC-PH-10004896,140,150,5,2
185,2/23/2023,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,TEC-AC-10002345,30,30,2,5
186,10/19/2022,Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,OFF-BI-10001890,10,10,2,2
187,8/22/2022,Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,TEC-AC-10002323,160,180,8,3
188,10/11/2023,Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,OFF-ST-10001328,40,40,3,4
189,12/6/2022,Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,OFF-PA-10001950,20,20,3,3
190,12/9/2023,First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,FUR-BO-10002613,820,900,4,3
191,7/12/2022,First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,TEC-PH-10001552,60,70,6,4
192,6/23/2022,First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,OFF-PA-10000061,50,50,8,5
193,11/4/2023,First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,FUR-BO-10002545,520,630,3,2
194,11/11/2022,First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,OFF-AR-10003514,20,20,5,3
195,1/7/2023,Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes,OFF-EN-10001509,10,10,7,2
196,10/26/2022,Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,OFF-AR-10004685,10,10,2,5
197,11/3/2023,Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,OFF-AR-10004027,10,10,3,2
198,3/5/2023,Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage,OFF-ST-10001414,40,50,3,5
199,12/21/2022,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,OFF-BI-10000343,0,0,2,5
200,6/16/2022,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,OFF-PA-10002749,20,20,3,2
201,12/11/2022,Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,OFF-PA-10002666,20,20,3,5
202,7/13/2022,First Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,Tables,FUR-TA-10004289,200,220,2,3
203,12/31/2022,First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Appliances,OFF-AP-10003622,0,0,1,5
204,3/12/2022,Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,OFF-AP-10003217,60,70,2,2
205,10/14/2023,Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings,FUR-FU-10002960,40,40,7,3
206,7/10/2023,Standard Class,Consumer,United States,Whittier,California,90604,West,Technology,Phones,TEC-PH-10001918,370,440,4,3
